Date,DXY,METALS,OIL,US_STK,INTL_STK,13W_TB,10Y_TBY,EURUSD
8/18/2015,0.001549277,-0.019394879,-0.042702956,-0.002896637,-0.00607904,0.416666667,0.021395349,-0.001351304
8/19/2015,-0.005259379,0.027689833,0.008333333,-0.007905554,-0.009556555,-0.529411765,-0.030510018,-0.004257989
8/20/2015,-0.007360554,0.034449597,-0.016771998,-0.020881468,-0.019683531,-0.625,-0.021136684,0.007905117
8/21/2015,-0.009608334,-0.029395386,0,-0.030102206,-0.023622165,0.333333333,-0.014395393,0.010697938
8/24/2015,-0.016028725,-0.07820583,-0.028182942,-0.042106783,-0.040322596,-0.25,-0.02775073,0.012457095
8/25/2015,0.013074708,-0.039509274,-1.81E-02,-0.011767934,0.01134478,2.533333333,0.068102153,0.018116455
8/26/2015,0.006029821,-0.048062309,0.102590674,0.038393778,0.018279879,0.037735849,0.018284107,-0.002772152
8/27/2015,0.005362808,0.065271752,0.0625,0.024735098,0.019991887,-0.090909091,-0.001841621,-0.018258238
8/28/2015,0.005229578,0.042271563,0,5.01219E-05,0.001600074,0,0.008302583,-0.008120775
8/31/2015,-0.001664801,-0.007988529,0.004201681,-0.008078997,-0.006789346,-0.94,0.006404392,-0.003016547
9/1/2015,-0.005211048,-0.03345032,0.018498128,-0.029847791,-0.03015666,11.66666667,-0.012727273,0.001054929
9/2/2015,0.003981194,-0.012390536,0.010810811,0.018981382,0.011193825,-0.342105263,0.009668508,0.006020029
9/3/2015,0.006052405,-0.013194917,-0.014973262,0.000716013,0.002050299,-0.4,-0.011399909,-0.006853536
9/4/2015,-0.001867037,-0.006356795,0,-0.015136548,-0.020867828,0.666666667,-0.018450185,-0.008032247
9/8/2015,-0.003637182,0.009706552,-0.041259501,0.025130944,0.022983849,0,0.031015038,0.003415439
9/9/2015,0.001355914,-0.0281844,0.0400906,-0.013371708,0.001225608,0.4,-0.005925251,0.003889304
9/10/2015,-0.005728601,-0.000899303,-0.028092334,0.005441804,0.003263932,-0.571428571,0.018798716,0.001189396
9/11/2015,-0.002828378,0.013276328,0,0.004544252,-0.000813208,0.533333333,-0.017551755,0.006255403
9/14/2015,0.000630297,-0.016877615,-0.000896258,-0.003710543,-0.004070121,0.086956522,-0.001374256,0.004707335
9/15/2015,0.003779538,0,0.057411976,0.012499445,0.00572134,1.32,0.046330275,-0.003211378
9/16/2015,-0.001987271,0.06866955,-0.005302227,0.008666753,0.015441283,-0.086206897,0.009644893,-0.003166894
9/17/2015,-0.009117533,0.024519129,-0.047334755,-0.002248098,0.001600287,-0.943396226,-0.037342597,0.001794744
9/18/2015,0.003278667,0.004126202,0,-0.016341527,-0.019976223,2.333333333,-0.039242219,0.009645741
9/21/2015,0.010858085,-0.025272222,0.025738585,0.005167576,0.00040801,0.3,0.03943662,-0.00955359
9/22/2015,0.00406716,-0.04658514,-0.029456688,-0.012979841,-0.022004919,-0.769230769,-0.040198735,-0.008952332
9/23/2015,-0.002181128,-0.013707694,0.009667266,-0.001598471,-0.006666827,0,0.008941176,-0.006272038
9/24/2015,-0.000832747,0.073526069,0.017590737,-0.003615572,-0.005438534,0.666666667,-0.01119403,0.006221703
9/25/2015,0.00291696,-0.012946315,0,-0.000259415,0.0084779,3,0.022641509,-0.000983919
9/28/2015,-0.002492968,-0.055849355,-0.010284464,-0.025097404,-0.018495012,-0.35,-0.033671587,0.002038657
9/29/2015,-0.001457878,0.004705333,-0.003095291,0.000585358,-0.002997855,-0.769230769,-0.019570406,0.002616562
9/30/2015,0.004797153,0.031445138,-0.007762253,0.018658112,0.021477543,0.666666667,0.00292113,0.002217962
10/1/2015,-0.001660571,-0.022702681,0.017881091,0.002609366,0.002523367,2.6,-0.008737864,-0.007452065
10/2/2015,-0.003742593,0.08451325,0,0.014937985,0.014261719,-0.555555556,-0.025954946,0.001913703
10/5/2015,0.00292183,0.046103611,0.065656566,0.017794584,0.020264509,0,0.033685269,0.002998185
10/6/2015,-0.006763105,0.040951678,-0.014836184,-0.003425947,0.005269689,-0.375,-0.010214008,-0.002832457
10/7/2015,0.000419034,0.011240146,0.033884125,0.008190344,0.011290166,0,0.013267813,0.006501894
10/8/2015,-0.001884817,-0.006113338,0.004046126,0.009026736,0.006778228,-0.4,0.022308438,-0.002484028
10/9/2015,-0.00535042,0.044547976,0,0.000596249,0.00514855,0,-0.00426945,0.004176157
10/12/2015,0.000316401,-0.037294789,-0.059842837,0.000943748,-0.001181819,2.333333333,-0.004287756,0.00735629
10/13/2015,-0.000843463,0.002038925,-0.000428633,-0.006301968,-0.011045491,-0.5,-0.016746411,-0.001271771
10/14/2015,-0.008758991,0.068812392,-0.005574614,-0.004794163,0.000398842,1,-0.036009732,0.002595216
10/15/2015,0.004684371,0.003115265,0.018973696,0.015354714,0.016746534,-0.5,0.021201413,0.007952583
10/16/2015,0.001801399,-0.033298827,0,0.004546379,0,0,0,-0.009355567
10/19/2015,0.004442543,-0.043548082,-0.036182818,0.000491853,-0.003529421,0,0.002471577,-0.000625431
10/20/2015,-0.001158393,0.038253387,-0.007683864,-0.001278481,-0.003148648,1,0.021203156,-0.002820162
10/21/2015,0.002108645,-0.035765583,0.003982301,-0.006203461,-0.002763426,-0.5,-0.019797199,0.002202311
10/22/2015,0.01357173,0.023112711,-0.017188189,0.016893828,0.009897134,0,-0.002463054,-0.000522285
10/23/2015,0.007577372,0.02568774,0,0.010961601,0.008624205,-0.4,0.028641975,-0.023535363
10/26/2015,-0.002163377,-0.031261066,-0.031390135,-0.002457482,-0.00427514,1.666666667,-0.01200192,-0.005466138
10/27/2015,0.00051624,0.000550037,0.063425926,-0.001932545,-0.008196757,0.25,-0.014577259,0.004138696
10/28/2015,0.00897735,-0.008796042,0.002612103,0.011374598,0.004329165,2.5,0.031558185,-0.002616124
10/29/2015,-0.00511352,-0.034017378,0.01150673,-0.00057433,-0.008229338,0.514285714,0.038718929,-0.009792481
10/30/2015,-0.00339229,-0.015310986,0,-0.004309979,-0.001580009,0.283018868,-0.010124252,0.005936521
11/2/2015,-0.000206261,0.009135024,-0.009658725,0.011831207,0.007914413,-0.220588235,0.016736402,0.002922546
11/3/2015,0.002372888,-0.001348228,0.038144777,0.002899375,0.002748606,0.094339623,0.015089163,-0.000903322
11/4/2015,0.008130846,-0.026229432,-0.032985386,-0.003033159,-0.00391558,-0.051724138,0.004504505,-0.004725849
11/5/2015,-0.000102042,-0.044563278,-0.02417962,-0.000998361,-0.001572352,-0.272727273,0.006726457,-0.008748672
11/6/2015,0.012456626,-0.046227278,-0.020132743,-0.000523683,-0.006693018,0.825,0.039198218,0.001469448
11/9/2015,-0.001815258,0.022603805,-0.009482953,-0.009331126,-0.009908948,0.02739726,0.003857694,-0.013835906
11/10/2015,0.003131926,-0.029117939,0.007750171,0.002306837,-0.00280205,0.666666667,-0.00853971,0.00243166
11/11/2015,-0.002820012,0.005691747,-0.028952726,-0.003931631,0.003211659,-0.016,0.006890612,-0.002040056
11/12/2015,-0.003635996,-0.01545492,-0.027486606,-0.01395999,-0.009203824,0,-0.008126604,0.002368322
11/13/2015,0.003446488,0.007296065,-0.024191617,-0.011228036,-0.009289274,-0.081300813,-0.016817594,0.004834159
11/16/2015,0.004545954,0.012071993,0.024545901,0.015206519,0.008153314,-0.132743363,-0.003070175,-0.010636134
11/17/2015,0.00191065,-0.053784427,-0.025634883,-0.000729511,0.004852578,0.37755102,-0.005279366,-0.001121496
11/18/2015,0.000200793,0.042401993,0.001967052,0.015866142,0.006438732,-0.088888889,0.003538257,-0.004129869
11/19/2015,-0.006623221,0.022867194,-0.005153374,-0.000862279,0.007596748,-0.284552846,-0.009255178,0.002453999
11/20/2015,0.005859198,-0.037618229,-0.003700049,0.003644309,0,0.056818182,0.006227758,0.005266182
11/23/2015,0.002309963,-0.00781778,0.033671701,-0.001146764,-0.005555409,0.129032258,-0.00530504,-0.007938535
